AccountID,CustomerID,CustomerType,Company
1,7309,private_sector_worker,Boakye Group
2,6139,public_sector_worker,Mensa Inc
3,1968,private_sector_worker,Nyame Inc
4,1838,private_sector_worker,"Akyeamfuɔ, Amponsah and Dufie"
5,5692,public_sector_worker,"Fosu, Duah and Kyei"
6,9624,public_sector_worker,Fosu and Sons
7,1882,public_sector_worker,Koomson Inc
8,2133,private_sector_worker,Mansa PLC
9,9047,private_sector_worker,Ansa-Frimpomaa
10,3223,private_sector_worker,Twumasi Inc
11,3696,public_sector_worker,Appia-Osei
12,652,public_sector_worker,"Gyasi, Amoanimaa and Ntim"
13,1288,public_sector_worker,"Amoasi, Ampofowaa and Ofosu"
14,9578,public_sector_worker,Nyantakyi-Bona
15,9946,private_sector_worker,Nyame PLC
16,4469,public_sector_worker,Foriwaa-Akyeamfuɔ
17,3644,public_sector_worker,Tutu PLC
18,9252,public_sector_worker,Asamoa-Nkansa
19,6702,public_sector_worker,"Agyemang, Adusei and Kwarteng"
20,3535,private_sector_worker,"Amoako, Daako and Ntim"
21,180,public_sector_worker,Boatemaa Group
22,6454,public_sector_worker,Ata Ltd
23,6901,private_sector_worker,"Yaamoa, Nkansa and Amo"
24,9087,private_sector_worker,Fofie Group
25,5273,public_sector_worker,Donkor Ltd
26,1848,public_sector_worker,"Ansa, Pokuaa and Boadi"
27,3635,private_sector_worker,Opuku and Sons
28,6692,public_sector_worker,Nyantakyi-Fosua
29,7596,private_sector_worker,Ahortor Ltd
30,9563,private_sector_worker,Boadi Inc
31,837,private_sector_worker,"Nsia, Asiedu and Yeboa"
32,9808,private_sector_worker,Prempeh-Foriwaa
33,771,private_sector_worker,Kumi-Dufie
34,5770,private_sector_worker,Yirenkyi Ltd
35,103,public_sector_worker,"Boateng, Tutu and Amoakowaa"
36,2608,private_sector_worker,Asare LLC
37,1798,public_sector_worker,Antwi-Yaamoa
38,7981,private_sector_worker,Nyaakoaa-Andorful
39,1334,public_sector_worker,"Amoasi, Nkansah and Frema"
40,9513,private_sector_worker,"Quartey, Andorful and Appiah"
41,3335,private_sector_worker,Asamoa Inc
42,2610,private_sector_worker,"Bona, Asenso and Anokye"
43,5875,private_sector_worker,Karikari PLC
44,885,public_sector_worker,Adutwum LLC
45,1545,private_sector_worker,Appia-Agyei
46,3071,public_sector_worker,Quartey-Baah
47,9826,private_sector_worker,Afrakomaa-Badu
48,2736,public_sector_worker,Bona and Sons
49,8947,public_sector_worker,Amoa-Antwi
50,5609,private_sector_worker,Amo-Boakye
51,2307,public_sector_worker,Frema-Nsia
52,2468,private_sector_worker,Yeboah Group
53,9641,public_sector_worker,"Boadi, Akyerε and Dwamena"
54,8899,public_sector_worker,Yirenkyi-Opuku
55,5713,public_sector_worker,Akyeampong-Fosu
56,4167,public_sector_worker,Okyere-Akoto
57,2389,private_sector_worker,"Sarpong, Yawson and Appiah"
58,6439,public_sector_worker,Oppong Ltd
59,9218,public_sector_worker,"Tweneboa, Danso and Omani"
60,7319,private_sector_worker,Nkansa-Kusi
61,8476,public_sector_worker,Nkansa-Boateng
62,8663,public_sector_worker,"Adusei, Otuo and Omani"
63,7907,private_sector_worker,Antwi-Baah
64,8388,public_sector_worker,Akoaa PLC
65,1644,public_sector_worker,Ansa-Fofie
66,7600,public_sector_worker,Gyasi-Adomako
67,2953,public_sector_worker,Bona Group
68,4922,private_sector_worker,Amoako-Kyei
69,3141,public_sector_worker,Pomaa LLC
70,4019,public_sector_worker,Amponsah-Donkor
71,269,private_sector_worker,Amponsa and Sons
72,2636,private_sector_worker,"Antwiwaa, Boadi and Nyaakoaa"
73,8484,public_sector_worker,Ankra-Afirifa
74,2322,private_sector_worker,"Ata, Asiama and Obeng"
75,7085,private_sector_worker,Afirifa-Akoto
76,9984,private_sector_worker,Nyame Group
77,9685,public_sector_worker,"Ahortor, Fosu and Safo"
78,3475,public_sector_worker,"Gyamfi, Mensa and Omani"
79,6059,private_sector_worker,Yeboa Ltd
80,1716,public_sector_worker,Ansomah and Sons
81,8799,public_sector_worker,"Nyame, Asenso and Adoma"
82,844,public_sector_worker,Agyare-Kusiwaa
83,3835,private_sector_worker,Karikari-Prempeh
84,5137,public_sector_worker,Pokuaa Ltd
85,722,private_sector_worker,"Boakyewaa, Tawia and Ankra"
86,8988,public_sector_worker,"Dwamena, Tiwaa and Koomson"
87,1993,public_sector_worker,Ntim-Antwi
88,9411,public_sector_worker,"Foriwaa, Omani and Frema"
89,6619,private_sector_worker,Adomako-Andorful
90,102,private_sector_worker,Adomah-Foriwaa
91,4207,public_sector_worker,Opoku Group
92,8309,private_sector_worker,Donkor-Yirenkyi
93,6873,public_sector_worker,Acheampong-Antwi
94,8898,public_sector_worker,Boakyewaa PLC
95,1705,private_sector_worker,"Acheampong, Bonsra and Asare"
96,3275,public_sector_worker,Safoaa Group
97,1015,private_sector_worker,"Karikari, Kyerewaa and Boaten"
98,3361,public_sector_worker,Nsia Group
99,5565,public_sector_worker,"Boateng, Daako and Agyare"
100,4123,public_sector_worker,Oti PLC
101,3300,private_sector_worker,Antwi and Sons
102,248,private_sector_worker,Ofosu-Nyaako
103,475,public_sector_worker,"Amoako, Antwi and Nkansah"
104,2059,private_sector_worker,Appiah PLC
105,7444,public_sector_worker,Gyamfi LLC
106,3370,public_sector_worker,Antwi LLC
107,8350,private_sector_worker,Gyamfi-Antwiwaa
108,9137,private_sector_worker,Boadi-Kwaakyewaa
109,3483,public_sector_worker,Adomah Inc
110,6796,private_sector_worker,"Akyeampong, Mensah and Oti"
111,8631,private_sector_worker,Ahortor-Takyi
112,9887,private_sector_worker,Amponsah-Dwamena
113,9027,private_sector_worker,Adutwum-Danso
114,5039,private_sector_worker,"Obeng, Acheampong and Afoakwa"
115,4894,private_sector_worker,Akyeampong LLC
116,6750,public_sector_worker,Yaamoa-Nti
117,766,public_sector_worker,"Yeboa, Otiwa and Nti"
118,8426,private_sector_worker,Asamoah Inc
119,174,private_sector_worker,"Takyi, Baafi and Okyere"
120,5000,private_sector_worker,Yirenkyi and Sons
121,7043,public_sector_worker,Yawson-Bonsu
122,4103,private_sector_worker,Appiah-Badu
123,541,public_sector_worker,Oti Ltd
124,4737,public_sector_worker,Adusei-Agyeiwaa
125,6465,private_sector_worker,Boakye Inc
126,8728,private_sector_worker,Amoako PLC
127,6233,public_sector_worker,Otiwa-Frimpomaa
128,7720,private_sector_worker,"Boatemaah, Boakye and Bona"
129,6006,private_sector_worker,Agyapong-Amoako
130,4027,public_sector_worker,Acheampong-Osei
131,6850,private_sector_worker,Anima-Anokye
132,7374,private_sector_worker,Boakyewaa PLC
133,1644,private_sector_worker,Agyei Group
134,2603,private_sector_worker,"Foriwaa, Akɔmaa and Duah"
135,6653,public_sector_worker,Adutwumwaa-Ata
136,3442,public_sector_worker,Aboraa-Amponsa
137,9428,public_sector_worker,"Donkor, Akyerε and Afirifa"
138,9233,public_sector_worker,"Wiafe, Asenso and Safo"
139,5313,private_sector_worker,Boakyewaa Ltd
140,1483,private_sector_worker,Adomah-Boadu
141,1012,private_sector_worker,Pokuaa LLC
142,8870,public_sector_worker,Yeboah Group
143,9333,public_sector_worker,"Badu, Akoaa and Darko"
144,767,public_sector_worker,"Asamoah, Twumasi and Mensah"
145,1400,public_sector_worker,"Adutwum, Kyerewaa and Amoa"
146,5383,private_sector_worker,"Ntiamoa, Asiama and Antwi"
147,3662,private_sector_worker,Boaten-Ofosu
148,7542,private_sector_worker,Nti LLC
149,4365,public_sector_worker,Daakoaa PLC
150,7563,private_sector_worker,Ansomah-Foriwaa
151,7224,private_sector_worker,Boadu-Boadi
152,1232,private_sector_worker,"Akowua, Nyaako and Darko"
153,8197,private_sector_worker,Dwamena LLC
154,3400,private_sector_worker,"Nkansa, Asamoah and Adu"
155,3275,private_sector_worker,Opoku-Asamoa
156,7490,public_sector_worker,Kumi-Boakye
157,959,public_sector_worker,"Anima, Yeboah and Akoaa"
158,735,public_sector_worker,"Bonsra, Ahortor and Amoasi"
159,3803,public_sector_worker,Boateng-Agyare
160,2454,private_sector_worker,Nyantakyi-Agyei
161,8540,private_sector_worker,Yawson Inc
162,8089,private_sector_worker,"Ansomaa, Agyei and Acheampong"
163,1441,public_sector_worker,Asenso-Baawia
164,4932,private_sector_worker,Kumi-Adusei
165,3753,private_sector_worker,"Boakye, Opuku and Karikari"
166,8062,public_sector_worker,Foriwaa Inc
167,1615,public_sector_worker,Adutwum-Kyei
168,7311,public_sector_worker,"Fofie, Boateng and Agyemang"
169,5916,public_sector_worker,Osei and Sons
170,2629,private_sector_worker,"Boatemaah, Sarpong and Appia"
171,4302,private_sector_worker,Fofie Group
172,2501,public_sector_worker,Owusuwaa-Tweneboa
173,2943,private_sector_worker,Yawson-Yeboah
174,4062,public_sector_worker,"Ansomaa, Mensa and Anokye"
175,5842,public_sector_worker,Ampoma Inc
176,1973,public_sector_worker,Akyaa-Mansa
177,7287,public_sector_worker,"Wiafe, Amoasi and Quartey"
178,5569,private_sector_worker,Boahen-Asenso
